BASE_DATE,STOCK_NAME,BOND_CODE,ISSUER_NAME,FACILITY_NAME,OUTSTANDING_AMOUNT,TRADE_RECENCY,TRADE_FREQUENCY,TRADE_TURNOVER,COMPOSITE_LIQUIDITY_SCORE
9/6/2022,QRMSB Sukuk Murabahah 29.03.2024 (Class C),PK170007,Quill Retail Malls Sdn Berhad,QRMSB RM50.0M SUKUK MURABAHAH (CLASS C),50000000,1,1,3,1.66667
9/6/2022,QRMSB Sukuk Murabahah 29.03.2024 (Class C),PK170007,Quill Retail Malls Sdn Berhad,QRMSB RM50.0M SUKUK MURABAHAH (CLASS C),0,1,1,3,1.66667
9/6/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,4,2,3,3
9/6/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,3,2.33333
9/6/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
9/6/2022,JATI IMTN 5.110% 31.01.2023,VN130038,Jati Cakerawala Sdn Berhad,JATI 10.5 YRS RM540.0 MILLION SUKUK MURABAHAH,55000000,1,1,2,1.33333
9/6/2022,JATI IMTN 5.110% 31.01.2023,VN130038,Jati Cakerawala Sdn Berhad,JATI 10.5 YRS RM540.0 MILLION SUKUK MURABAHAH,0,1,1,2,1.33333
9/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,100000000,3,1,5,3
9/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,0,3,1,5,3
9/6/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,4,3,3,3.33333
9/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,100000000,3,1,5,3
9/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,0,3,1,5,3
9/6/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,4,3,3,3.33333
9/6/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,1,1,1,1
9/6/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,4,3,3,3.33333
9/6/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,3,2.33333
9/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,100000000,3,1,5,3
9/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,0,3,1,5,3
8/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,100000000,3,1,5,3
8/6/2022,QRMSB Sukuk Murabahah 29.03.2024 (Class C),PK170007,Quill Retail Malls Sdn Berhad,QRMSB RM50.0M SUKUK MURABAHAH (CLASS C),0,1,1,3,1.66667
8/6/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,3,2.33333
8/6/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,4,3,3,3.33333
8/6/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,1,1,1,1
8/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,100000000,3,1,5,3
8/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,0,3,1,5,3
8/6/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,4,3,3,3.33333
8/6/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,3,2.33333
8/6/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,4,3,3,3.33333
8/6/2022,JATI IMTN 5.110% 31.01.2023,VN130038,Jati Cakerawala Sdn Berhad,JATI 10.5 YRS RM540.0 MILLION SUKUK MURABAHAH,55000000,1,1,2,1.33333
8/6/2022,JATI IMTN 5.110% 31.01.2023,VN130038,Jati Cakerawala Sdn Berhad,JATI 10.5 YRS RM540.0 MILLION SUKUK MURABAHAH,0,1,1,2,1.33333
8/6/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,4,2,3,3
8/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,100000000,3,1,5,3
8/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,0,3,1,5,3
8/6/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
8/6/2022,QRMSB Sukuk Murabahah 29.03.2024 (Class C),PK170007,Quill Retail Malls Sdn Berhad,QRMSB RM50.0M SUKUK MURABAHAH (CLASS C),20000000,1,1,3,1.66667
8/6/2022,QRMSB Sukuk Murabahah 29.03.2024 (Class C),PK170007,Quill Retail Malls Sdn Berhad,QRMSB RM50.0M SUKUK MURABAHAH (CLASS C),50000000,1,1,3,1.66667
8/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,0,3,1,5,3
7/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,100000000,3,1,5,3
7/6/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,3,3,3.66667
7/6/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,1,1,1,1
7/6/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,3,2.33333
7/6/2022,QRMSB Sukuk Murabahah 29.03.2024 (Class C),PK170007,Quill Retail Malls Sdn Berhad,QRMSB RM50.0M SUKUK MURABAHAH (CLASS C),20000000,1,1,3,1.66667
7/6/2022,QRMSB Sukuk Murabahah 29.03.2024 (Class C),PK170007,Quill Retail Malls Sdn Berhad,QRMSB RM50.0M SUKUK MURABAHAH (CLASS C),50000000,1,1,3,1.66667
7/6/2022,QRMSB Sukuk Murabahah 29.03.2024 (Class C),PK170007,Quill Retail Malls Sdn Berhad,QRMSB RM50.0M SUKUK MURABAHAH (CLASS C),0,1,1,3,1.66667
7/6/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,3,3.33333
7/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,100000000,3,1,5,3
7/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,0,3,1,5,3
7/6/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
7/6/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,3,3,3.66667
7/6/2022,JATI IMTN 5.110% 31.01.2023,VN130038,Jati Cakerawala Sdn Berhad,JATI 10.5 YRS RM540.0 MILLION SUKUK MURABAHAH,55000000,1,1,2,1.33333
7/6/2022,JATI IMTN 5.110% 31.01.2023,VN130038,Jati Cakerawala Sdn Berhad,JATI 10.5 YRS RM540.0 MILLION SUKUK MURABAHAH,0,1,1,2,1.33333
7/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,100000000,3,1,5,3
7/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,0,3,1,5,3
7/6/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,3,3,3.66667
7/6/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,3,2.33333
7/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,0,3,1,5,3
3/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,0,4,1,5,3.33333
3/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,100000000,4,1,5,3.33333
3/6/2022,JATI IMTN 5.110% 31.01.2023,VN130038,Jati Cakerawala Sdn Berhad,JATI 10.5 YRS RM540.0 MILLION SUKUK MURABAHAH,0,1,1,2,1.33333
3/6/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,3,3,3.66667
3/6/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
3/6/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,3,3,3.66667
3/6/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,1,1,1,1
3/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,100000000,4,1,5,3.33333
3/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,0,4,1,5,3.33333
3/6/2022,QRMSB Sukuk Murabahah 29.03.2024 (Class C),PK170007,Quill Retail Malls Sdn Berhad,QRMSB RM50.0M SUKUK MURABAHAH (CLASS C),20000000,1,1,3,1.66667
3/6/2022,QRMSB Sukuk Murabahah 29.03.2024 (Class C),PK170007,Quill Retail Malls Sdn Berhad,QRMSB RM50.0M SUKUK MURABAHAH (CLASS C),50000000,1,1,3,1.66667
3/6/2022,QRMSB Sukuk Murabahah 29.03.2024 (Class C),PK170007,Quill Retail Malls Sdn Berhad,QRMSB RM50.0M SUKUK MURABAHAH (CLASS C),0,1,1,3,1.66667
3/6/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,3,2.33333
3/6/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,3,3.33333
3/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,100000000,4,1,5,3.33333
3/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,0,4,1,5,3.33333
3/6/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,3,2.33333
3/6/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,3,3,3.66667
3/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,100000000,4,1,5,3.33333
3/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,0,4,1,5,3.33333
3/6/2022,JATI IMTN 5.110% 31.01.2023,VN130038,Jati Cakerawala Sdn Berhad,JATI 10.5 YRS RM540.0 MILLION SUKUK MURABAHAH,55000000,1,1,2,1.33333
2/6/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,3,2.33333
2/6/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,3,3.33333
2/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,100000000,4,1,5,3.33333
2/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,0,4,1,5,3.33333
2/6/2022,QRMSB Sukuk Murabahah 29.03.2024 (Class C),PK170007,Quill Retail Malls Sdn Berhad,QRMSB RM50.0M SUKUK MURABAHAH (CLASS C),20000000,1,1,3,1.66667
2/6/2022,QRMSB Sukuk Murabahah 29.03.2024 (Class C),PK170007,Quill Retail Malls Sdn Berhad,QRMSB RM50.0M SUKUK MURABAHAH (CLASS C),50000000,1,1,3,1.66667
2/6/2022,QRMSB Sukuk Murabahah 29.03.2024 (Class C),PK170007,Quill Retail Malls Sdn Berhad,QRMSB RM50.0M SUKUK MURABAHAH (CLASS C),0,1,1,3,1.66667
2/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,100000000,4,1,5,3.33333
2/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,0,4,1,5,3.33333
2/6/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,3,3,3.66667
2/6/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
2/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,100000000,4,1,5,3.33333
2/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,0,4,1,5,3.33333
2/6/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,3,3,3.66667
2/6/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,3,2.33333
2/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,100000000,4,1,5,3.33333
2/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,0,4,1,5,3.33333
2/6/2022,JATI IMTN 5.110% 31.01.2023,VN130038,Jati Cakerawala Sdn Berhad,JATI 10.5 YRS RM540.0 MILLION SUKUK MURABAHAH,55000000,1,1,2,1.33333
2/6/2022,JATI IMTN 5.110% 31.01.2023,VN130038,Jati Cakerawala Sdn Berhad,JATI 10.5 YRS RM540.0 MILLION SUKUK MURABAHAH,0,1,1,2,1.33333
2/6/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,1,1,1,1
2/6/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,3,3,3.66667
1/6/2022,JATI IMTN 5.110% 31.01.2023,VN130038,Jati Cakerawala Sdn Berhad,JATI 10.5 YRS RM540.0 MILLION SUKUK MURABAHAH,0,1,1,2,1.33333
1/6/2022,JATI IMTN 5.110% 31.01.2023,VN130038,Jati Cakerawala Sdn Berhad,JATI 10.5 YRS RM540.0 MILLION SUKUK MURABAHAH,55000000,1,1,2,1.33333
1/6/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
1/6/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,3,3,3.66667
1/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,100000000,4,1,5,3.33333
1/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,0,4,1,5,3.33333
1/6/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,3,3,3.66667
1/6/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,1,1,1,1
1/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,100000000,4,1,5,3.33333
1/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,0,4,1,5,3.33333
1/6/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,3,2.33333
1/6/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,3,3.33333
1/6/2022,QRMSB Sukuk Murabahah 29.03.2024 (Class C),PK170007,Quill Retail Malls Sdn Berhad,QRMSB RM50.0M SUKUK MURABAHAH (CLASS C),20000000,1,1,3,1.66667
1/6/2022,QRMSB Sukuk Murabahah 29.03.2024 (Class C),PK170007,Quill Retail Malls Sdn Berhad,QRMSB RM50.0M SUKUK MURABAHAH (CLASS C),50000000,1,1,3,1.66667
1/6/2022,QRMSB Sukuk Murabahah 29.03.2024 (Class C),PK170007,Quill Retail Malls Sdn Berhad,QRMSB RM50.0M SUKUK MURABAHAH (CLASS C),0,1,1,3,1.66667
1/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,100000000,4,1,5,3.33333
1/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,0,4,1,5,3.33333
1/6/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,3,2.33333
1/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,100000000,4,1,5,3.33333
1/6/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,0,4,1,5,3.33333
1/6/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,3,3,3.66667
31/5/2022,JATI IMTN 5.110% 31.01.2023,VN130038,Jati Cakerawala Sdn Berhad,JATI 10.5 YRS RM540.0 MILLION SUKUK MURABAHAH,55000000,1,1,2,1.33333
31/5/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,0,4,1,5,3.33333
31/5/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,100000000,4,1,5,3.33333
31/5/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,0,4,1,5,3.33333
31/5/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
31/5/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,3,3,3.66667
31/5/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,1,1,1,1
31/5/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,100000000,4,1,5,3.33333
31/5/2022,LCSB IMTN 5.060% 08.07.2022,VG190116,Kedah Cement Sdn Berhad (fka Lafarge Cement Sdn Bhd),LCSB MYR500.0 MILLION SUKUK WAKALAH PROGRAMME,0,4,1,5,3.33333
31/5/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,3,2.33333
31/5/2022,QRMSB Sukuk Murabahah 29.03.2024 (Class C),PK170007,Quill Retail Malls Sdn Berhad,QRMSB RM50.0M SUKUK MURABAHAH (CLASS C),20000000,1,1,3,1.66667
